SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-22-2020,Condo/Co-op,6013 Montgomery,SAN JOSE,CA,95135,575000,2,2.0,SAN JOSE,1360,,1972,214,423,1050,Sold,,,http://www.redfin.com/CA/San-Jose/6013-Montgomery-Cor-95135/home/1263235,MLSListings,ML81800252,N,Y,37.288688,-121.757381
PAST SALE,October-3-2019,Single Family Residential,1832 Arbor Dr,SAN JOSE,CA,95125,1512000,3,2.0,SAN JOSE,1575,5000,1950,569,960,,Sold,,,http://www.redfin.com/CA/San-Jose/1832-Arbor-Dr-95125/home/1267241,MLSListings,ML81764602,N,Y,37.3010229,-121.8826991
PAST SALE,,Single Family Residential,2599 Cottle Ave,San Jose,CA,95125,2350000,4,2.0,,2351,15293,1951,,1000,,,,,http://www.redfin.com/CA/San-Jose/2599-Cottle-Ave-95125/home/848326,,,N,Y,37.2805809,-121.8894132
PAST SALE,September-6-2019,Single Family Residential,1628 Andalusia Way,SAN JOSE,CA,95125,1565000,4,2.0,SAN JOSE,1656,6490,1960,596,945,,Sold,,,http://www.redfin.com/CA/San-Jose/1628-Andalusia-Way-95125/home/570796,MLSListings,ML81761853,N,Y,37.2796778,-121.9027068
PAST SALE,June-19-2019,Single Family Residential,1970 Glen Una Ave,SAN JOSE,CA,95125,1530000,3,2.0,SAN JOSE,1503,5468,1939,675,1018,,Sold,,,http://www.redfin.com/CA/San-Jose/1970-Glen-Una-Ave-95125/home/1596386,MLSListings,ML81750120,N,Y,37.2963501,-121.8881237
PAST SALE,February-5-2020,Single Family Residential,1585 Trona Way,SAN JOSE,CA,95125,1400000,3,2.0,SAN JOSE,1523,6566,1964,444,919,,Sold,,,http://www.redfin.com/CA/San-Jose/1585-Trona-Way-95125/home/1581092,MLSListings,ML81778391,N,Y,37.2766659,-121.9000838
PAST SALE,November-27-2019,Single Family Residential,1437 Blackstone Ave,SAN JOSE,CA,95118,1225000,5,2.5,SAN JOSE,1787,6000,1971,514,686,,Sold,,,http://www.redfin.com/CA/San-Jose/1437-Blackstone-Ave-95118/home/757326,MLSListings,ML81769764,N,Y,37.2730354,-121.8913695
PAST SALE,April-3-2020,Single Family Residential,1577 Koch Ln,SAN JOSE,CA,95125,1425000,3,2.5,SAN JOSE,1687,7654,1958,386,845,,Sold,,,http://www.redfin.com/CA/San-Jose/1577-Koch-Ln-95125/home/888484,MLSListings,ML81784120,N,Y,37.2754855,-121.900884
PAST SALE,,Single Family Residential,1720 Lincoln Ave,San Jose,CA,95125,947000,2,1.0,,1359,6539,1924,,697,,,,,http://www.redfin.com/CA/San-Jose/1720-Lincoln-Ave-95125/home/1108112,,,N,Y,37.2982677,-121.8930146
PAST SALE,August-27-2019,Single Family Residential,1765 Bird Ave,SAN JOSE,CA,95125,1340000,3,2.0,SAN JOSE,1387,5211,1950,606,966,,Sold,,,http://www.redfin.com/CA/San-Jose/1765-Bird-Ave-95125/home/888209,MLSListings,ML81761502,N,Y,37.3013681,-121.8858116
PAST SALE,,Single Family Residential,3209 Finch Dr,San Jose,CA,95117,1200000,3,2.0,,1188,11630,1948,,1010,,,,,http://www.redfin.com/CA/San-Jose/3209-Finch-Dr-95117/home/771506,,,N,Y,37.3039153,-121.9531991
PAST SALE,May-22-2020,Single Family Residential,1141 Lenor Way,SAN JOSE,CA,95128,1465000,4,2.5,SAN JOSE,2239,5927,1962,337,654,,Sold,,,http://www.redfin.com/CA/CAMPBELL/1141-LENOR-WAY-95008/home/770852,MLSListings,ML81790252,N,Y,37.303881,-121.944326
PAST SALE,February-25-2020,Mobile/Manufactured Home,86 Quail Hollow Dr #86,SAN JOSE,CA,95128,215000,2,2.0,SAN JOSE,1488,,1974,424,144,,Sold,,,http://www.redfin.com/CA/San-Jose/86-Quail-Hollow-Dr-95128/unit-86/home/103185098,MLSListings,ML81767085,N,Y,37.297397,-121.933516
PAST SALE,May-30-2019,Single Family Residential,611 Pamlar Ave,SAN JOSE,CA,95128,1500000,5,2.5,SAN JOSE,2709,9379,1947,695,554,,Sold,,,http://www.redfin.com/CA/San-Jose/611-Pamlar-Ave-95128/home/725346,MLSListings,ML81750211,N,Y,37.299565,-121.9340624
PAST SALE,September-6-2019,Townhouse,1089 Longshore Dr,SAN JOSE,CA,95128,850000,3,2.5,SAN JOSE,1606,3367,1980,596,529,391,Sold,,,http://www.redfin.com/CA/San-Jose/1089-Longshore-Dr-95128/home/1719754,MLSListings,ML81761565,N,Y,37.3084626,-121.9398227
PAST SALE,June-18-2019,Multi-Family (2-4 Unit),3385 Payne Ave,SAN JOSE,CA,95117,1375000,5,,SAN JOSE,2254,7045,1967,676,610,,Sold,,,http://www.redfin.com/CA/San-Jose/3385-Payne-Ave-95117/home/1673075,MLSListings,ML81738339,N,Y,37.301816,-121.95736
PAST SALE,October-24-2019,Single Family Residential,1468 Essex Way,SAN JOSE,CA,95117,1329000,4,2.0,SAN JOSE,1503,7280,1963,548,884,,Sold,,,http://www.redfin.com/CA/San-Jose/1468-Essex-Way-95117/home/783710,MLSListings,ML81767877,N,Y,37.2975299,-121.9563097
PAST SALE,September-23-2019,Townhouse,3280 Traviata Pl,SAN JOSE,CA,95117,1200000,3,2.5,SAN JOSE,1817,3110,2002,579,660,135,Sold,,,http://www.redfin.com/CA/San-Jose/3280-Traviata-Pl-95117/home/687258,MLSListings,ML81765293,N,Y,37.3011549,-121.9560654
PAST SALE,May-29-2020,Single Family Residential,1210 Spruance St,SAN JOSE,CA,95128,1361000,4,3.0,SAN JOSE,2168,5515,1978,330,628,,Sold,,,http://www.redfin.com/CA/San-Jose/1210-Spruance-St-95128/home/1075699,MLSListings,ML81794598,N,Y,37.3040115,-121.9366228
PAST SALE,August-12-2019,Single Family Residential,851 Monica Ln,CAMPBELL,CA,95008,1400000,3,2.0,CAMPBELL,1640,9028,1957,621,854,,Sold,,,http://www.redfin.com/CA/Campbell/851-Monica-Ln-95008/home/723128,MLSListings,ML81756510,N,Y,37.2996695,-121.9450668
PAST SALE,,Single Family Residential,16275 Greenridge Ter,Los Gatos,CA,95032,2400000,4,3.0,,2912,47202,1963,,824,,,,,http://www.redfin.com/CA/Los-Gatos/16275-Greenridge-Ter-95032/home/1538498,,,N,Y,37.2350203,-121.9349339
PAST SALE,,Single Family Residential,14878 Heather Dr,San Jose,CA,95124,3350000,3,4.0,,4098,18976,2009,,817,,,,,http://www.redfin.com/CA/San-Jose/14878-Heather-Dr-95124/home/833924,,,N,Y,37.2443938,-121.9290893
PAST SALE,September-24-2020,Single Family Residential,2185 Rosswood Dr,SAN JOSE,CA,95124,1290000,3,2.0,SAN JOSE,1288,6612,1956,212,1002,,Sold,,,http://www.redfin.com/CA/San-Jose/2185-Rosswood-Dr-95124/home/651276,MLSListings,ML81801440,N,Y,37.2436579,-121.9378672
PAST SALE,September-18-2020,Single Family Residential,5490 Blossom Acres Dr,SAN JOSE,CA,95124,1525000,3,2.0,SAN JOSE,1624,6894,1960,218,939,,Sold,,,http://www.redfin.com/CA/San-Jose/5490-Blossom-Acres-Dr-95124/home/911154,MLSListings,ML81806193,N,Y,37.2383325,-121.9355561
PAST SALE,October-16-2020,Townhouse,2047 Samaritan Dr,SAN JOSE,CA,95124,1085000,3,2.5,SAN JOSE,1524,1056,2007,190,712,252,Sold,,,http://www.redfin.com/CA/San-Jose/2047-Samaritan-Dr-95124/home/17288466,MLSListings,ML81808363,N,Y,37.250841,-121.935007
PAST SALE,August-24-2020,Single Family Residential,283 Blossom Valley Dr,LOS GATOS,CA,95032,1510000,4,3.0,LOS GATOS,1887,8286,1969,243,800,,Sold,,,http://www.redfin.com/CA/Los-Gatos/283-Blossom-Valley-Dr-95032/home/1285226,MLSListings,ML81799139,N,Y,37.2404857,-121.9412893
PAST SALE,April-1-2020,Single Family Residential,2269 Samaritan Dr,SAN JOSE,CA,95124,1510000,3,3.0,SAN JOSE,2079,5308,2007,388,726,140,Sold,,,http://www.redfin.com/CA/San-Jose/2269-Samaritan-Dr-95124/home/17291724,MLSListings,ML81782118,N,Y,37.2508368,-121.9402671
PAST SALE,March-26-2021,Single Family Residential,2230 Los Gatos Almaden Rd,SAN JOSE,CA,95124,1910000,4,2.0,SAN JOSE,1662,8507,1964,29,1149,,Sold,,,http://www.redfin.com/CA/San-Jose/2230-LG-Almaden-Rd-95124/home/1570302,MLSListings,ML81826629,N,Y,37.2430912,-121.9393783
PAST SALE,April-20-2021,Single Family Residential,5460 Blossom Tree Ln,SAN JOSE,CA,95124,2500000,4,3.0,SAN JOSE,2708,7601,1960,4,923,,Sold,,,http://www.redfin.com/CA/San-Jose/5460-Blossom-Tree-Ln-95124/home/736919,MLSListings,ML81830716,N,Y,37.2389673,-121.9372006
PAST SALE,December-3-2019,Single Family Residential,3865 Via Salice,CAMPBELL,CA,95008,1280000,3,2.0,CAMPBELL,1314,6073,1960,508,974,,Sold,,,http://www.redfin.com/CA/Campbell/3865-Via-Salice-95008/home/816360,MLSListings,ML81773992,N,Y,37.2829781,-121.9685733
PAST SALE,,Single Family Residential,5109 Southwick Ct,San Jose,CA,95136,1055000,3,3.0,,2607,6004,1973,,405,,,,,http://www.redfin.com/CA/San-Jose/5109-Southwick-Ct-95136/home/869637,,,N,Y,37.2595839,-121.8532589
PAST SALE,June-4-2020,Condo/Co-op,5454 Colony Field Dr,SAN JOSE,CA,95123,740000,3,1.5,SAN JOSE,1260,,1984,324,587,429,Sold,,,http://www.redfin.com/CA/San-Jose/5454-Colony-Field-Dr-95123/home/870618,MLSListings,ML81790600,N,Y,37.2564149,-121.842509
PAST SALE,June-26-2020,Single Family Residential,5056 Fell Ave,SAN JOSE,CA,95136,1025000,3,2.0,SAN JOSE,1375,6144,1970,302,745,,Sold,,,http://www.redfin.com/CA/San-Jose/5056-Fell-Ave-95136/home/1417857,MLSListings,ML81792959,N,Y,37.2599473,-121.8662455
PAST SALE,September-30-2020,Townhouse,4548 Cimarron River Ct,SAN JOSE,CA,95136,710000,3,2.5,SAN JOSE,1441,1606,1973,206,493,440,Sold,,,http://www.redfin.com/CA/San-Jose/4548-Cimarron-River-Ct-95136/home/1445723,MLSListings,ML81803585,N,Y,37.265291,-121.861059
PAST SALE,May-27-2020,Single Family Residential,387 Grandpark Cir,SAN JOSE,CA,95136,950000,3,2.0,SAN JOSE,1260,5523,1968,332,754,,Sold,,,http://www.redfin.com/CA/San-Jose/387-Grandpark-Cir-95136/home/1755178,MLSListings,ML81785134,N,Y,37.2685606,-121.8470318
PAST SALE,January-6-2021,Single Family Residential,525 Canton Dr,SAN JOSE,CA,95123,1175000,3,2.0,SAN JOSE,1627,6680,1971,108,722,,Sold,,,http://www.redfin.com/CA/San-Jose/525-Canton-Dr-95123/home/894903,MLSListings,ML81820770,N,Y,37.2483094,-121.8362227
PAST SALE,October-28-2020,Single Family Residential,5548 Sunny Oaks Dr,SAN JOSE,CA,95123,1028000,4,2.0,SAN JOSE,1491,6637,1974,178,689,,Sold,,,http://www.redfin.com/CA/San-Jose/5548-Sunny-Oaks-Dr-95123/home/1479521,MLSListings,ML81810726,N,Y,37.2530356,-121.8496116
PAST SALE,September-15-2020,Single Family Residential,918 Knollfield Way,SAN JOSE,CA,95136,1100000,4,2.0,SAN JOSE,1697,6224,1974,221,648,,Sold,,,http://www.redfin.com/CA/San-Jose/918-Knollfield-Way-95136/home/849427,MLSListings,ML81800663,N,Y,37.2664067,-121.869114
PAST SALE,November-24-2020,Single Family Residential,4766 Canela Way,SAN JOSE,CA,95136,1260000,4,2.5,SAN JOSE,2218,3378,2004,151,568,,Sold,,,http://www.redfin.com/CA/San-Jose/4766-Canela-Way-95136/home/1538112,MLSListings,ML81816542,N,Y,37.2652154,-121.8475211
PAST SALE,June-5-2019,Single Family Residential,4639 Mia Cir,SAN JOSE,CA,95136,770000,2,1.0,SAN JOSE,1066,5555,1971,689,722,,Sold,,,http://www.redfin.com/CA/San-Jose/4639-Mia-Cir-95136/home/1403949,MLSListings,ML81747674,N,Y,37.2680216,-121.8390251
PAST SALE,January-12-2021,Single Family Residential,534 Edelweiss Dr,SAN JOSE,CA,95136,1040000,3,2.0,SAN JOSE,1728,6624,1969,102,602,,Sold,,,http://www.redfin.com/CA/San-Jose/534-Edelweiss-Dr-95136/home/1372117,MLSListings,ML81822229,N,Y,37.2682113,-121.85486
PAST SALE,February-18-2021,Condo/Co-op,5545 Don Pedro Ct,SAN JOSE,CA,95123,760000,4,2.5,SAN JOSE,1439,1303,1970,65,528,285,Sold,,,http://www.redfin.com/CA/San-Jose/5545-Don-Pedro-Ct-95123/home/841236,MLSListings,ML81824653,N,Y,37.2524121,-121.8369789
PAST SALE,February-9-2021,Single Family Residential,5468 Cahalan Ave,SAN JOSE,CA,95123,1300000,3,2.5,SAN JOSE,1895,2689,2012,74,686,136,Sold,,,http://www.redfin.com/CA/San-Jose/5468-Cahalan-Ave-95123/home/52663516,MLSListings,ML81824878,N,Y,37.2534035,-121.8457791
PAST SALE,September-27-2019,Townhouse,5485 Don Pizarro Ct,SAN JOSE,CA,95123,560000,2,1.5,SAN JOSE,950,779,1970,575,589,236,Sold,,,http://www.redfin.com/CA/San-Jose/5485-Don-Pizarro-Ct-95123/home/1806838,MLSListings,ML81763329,N,Y,37.2538349,-121.8383981
PAST SALE,July-2-2019,Single Family Residential,4722 Tina Speciale Dr,SAN JOSE,CA,95136,1100000,4,2.5,SAN JOSE,2234,3435,2016,662,492,247,Sold,,,http://www.redfin.com/CA/San-Jose/4722-Tina-Speciale-Dr-95136/home/143042272,MLSListings,ML81759060,N,Y,37.2628382,-121.8637551
PAST SALE,September-23-2019,Single Family Residential,4944 Chiles Dr,SAN JOSE,CA,95136,1038880,4,2.5,SAN JOSE,1954,6000,1975,579,532,,Sold,,,http://www.redfin.com/CA/San-Jose/4944-Chiles-Dr-95136/home/873957,MLSListings,ML81762256,N,Y,37.2639849,-121.8577304
PAST SALE,November-19-2019,Single Family Residential,5713 Pontiac Dr,SAN JOSE,CA,95123,990000,4,2.0,SAN JOSE,1654,6004,1963,522,599,,Sold,,,http://www.redfin.com/CA/San-Jose/5713-Pontiac-Dr-95123/home/1375760,MLSListings,ML81771002,N,Y,37.2470706,-121.8382244
PAST SALE,March-15-2021,Single Family Residential,4746 Eagle Lake Dr,SAN JOSE,CA,95136,1170000,4,2.0,SAN JOSE,1669,3540,1975,40,701,,Sold,,,http://www.redfin.com/CA/San-Jose/4746-Eagle-Lake-Dr-95136/home/1315707,MLSListings,ML81829569,N,Y,37.263255,-121.867891
PAST SALE,February-26-2021,Single Family Residential,5104 Fell Ave,SAN JOSE,CA,95136,1350000,4,2.0,SAN JOSE,1572,6173,1970,57,859,,Sold,,,http://www.redfin.com/CA/San-Jose/5104-Fell-Ave-95136/home/1596858,MLSListings,ML81825912,N,Y,37.2594691,-121.8663345
PAST SALE,March-25-2021,Single Family Residential,4916 Massachusetts Dr,SAN JOSE,CA,95136,1320000,4,2.0,SAN JOSE,1843,6057,1974,30,716,,Sold,,,http://www.redfin.com/CA/San-Jose/4916-Massachusetts-Dr-95136/home/1766548,MLSListings,ML81828552,N,Y,37.262561,-121.8523026
PAST SALE,April-6-2021,Townhouse,467 Don Marco Ct,SAN JOSE,CA,95123,563000,2,1.5,SAN JOSE,950,760,1970,18,593,285,Sold,,,http://www.redfin.com/CA/San-Jose/467-Don-Marco-Ct-95123/home/1832200,MLSListings,ML81831796,N,Y,37.2542851,-121.8404375
PAST SALE,March-30-2021,Single Family Residential,5194 Barron Park Dr,San Jose,CA,95136,1510000,4,2.5,Vista Park,2124,6000,1973,25,711,,Sold,,,http://www.redfin.com/CA/San-Jose/5194-Barron-Park-Dr-95136/home/613197,"bridgeMLS, Bay East AOR, or Contra Costa AOR",40942711,N,Y,37.2579509,-121.8475878
PAST SALE,April-6-2021,Single Family Residential,4753 Corrales Dr,SAN JOSE,CA,95136,1548000,4,3.0,SAN JOSE,2603,6138,1970,18,595,,Sold,,,http://www.redfin.com/CA/San-Jose/4753-Corrales-Dr-95136/home/1806746,MLSListings,ML81832306,N,Y,37.2616598,-121.8694475
PAST SALE,July-22-2019,Single Family Residential,13685 Quito Rd,SARATOGA,CA,95070,2350000,5,3.0,SARATOGA,2650,17711,1953,642,887,,Sold,,,http://www.redfin.com/CA/Saratoga/13685-Quito-Rd-95070/home/733914,MLSListings,ML81751035,N,Y,37.2692436,-121.9938517
PAST SALE,,Single Family Residential,5081 Woodbrae Ct,Saratoga,CA,95070,1905000,4,3.5,,2209,6010,1988,,862,,,,,http://www.redfin.com/CA/Saratoga/5081-Woodbrae-Ct-95070/home/1767629,,,N,Y,37.2742566,-121.9938073
PAST SALE,September-4-2019,Townhouse,2082 Wente Way,SAN JOSE,CA,95125,935000,2,2.5,SAN JOSE,1224,1973,1985,598,764,390,Sold,,,http://www.redfin.com/CA/San-Jose/2082-Wente-Way-95125/home/730968,MLSListings,ML81764298,N,Y,37.2966314,-121.9282588
PAST SALE,January-2-2020,Townhouse,1481 Alegria Loop,SAN JOSE,CA,95128,810000,3,2.0,SAN JOSE,1393,668,2002,478,581,440,Sold,,,http://www.redfin.com/CA/San-Jose/1481-Alegria-Loop-95128/home/896606,MLSListings,ML81766900,N,Y,37.3010689,-121.9289572
PAST SALE,April-29-2020,Condo/Co-op,1428 Alegria Loop,SAN JOSE,CA,95128,850000,3,2.0,SAN JOSE,1393,,2002,360,610,445,Sold,,,http://www.redfin.com/CA/San-Jose/1428-Alegria-Loop-95128/home/1510526,MLSListings,ML81786495,N,Y,37.3008727,-121.9296616
PAST SALE,April-24-2020,Single Family Residential,14255 Wyrick Ave,SAN JOSE,CA,95124,2000000,5,3.0,SAN JOSE,3311,9653,1950,365,604,,Sold,,,http://www.redfin.com/CA/San-Jose/14255-Wyrick-Ave-95124/home/1201848,MLSListings,ML81786165,N,Y,37.2542258,-121.9179547
PAST SALE,June-11-2019,Single Family Residential,5074 Carm Ave,SAN JOSE,CA,95124,1275000,3,2.0,SAN JOSE,1280,5817,1957,683,996,,Sold,,,http://www.redfin.com/CA/San-Jose/5074-Carm-Ave-95124/home/1777842,MLSListings,ML81750808,N,Y,37.2457139,-121.9198661
PAST SALE,March-17-2020,Single Family Residential,3593 Woodford Dr,SAN JOSE,CA,95124,1475000,3,2.5,SAN JOSE,1936,7703,1996,403,762,,Sold,,,http://www.redfin.com/CA/San-Jose/3593-Woodford-Dr-95124/home/1403399,MLSListings,ML81781478,N,Y,37.2629462,-121.912776
PAST SALE,October-22-2019,Single Family Residential,1637 Corte De Anna,SAN JOSE,CA,95124,1340000,4,2.5,SAN JOSE,1737,5386,1994,550,771,,Sold,,,http://www.redfin.com/CA/San-Jose/1637-Corte-De-Anna-95124/home/859472,MLSListings,ML81769978,N,Y,37.2588199,-121.9016398
PAST SALE,January-16-2020,Single Family Residential,1426 Glacier Dr,SAN JOSE,CA,95118,1225000,3,2.0,SAN JOSE,2085,6094,1965,464,588,,Sold,,,http://www.redfin.com/CA/San-Jose/1426-Glacier-Dr-95118/home/1501826,MLSListings,ML81778729,N,Y,37.2627498,-121.8894132
PAST SALE,March-17-2020,Single Family Residential,1623 Rebel Way,SAN JOSE,CA,95118,1350000,4,3.0,SAN JOSE,1967,5087,1996,403,686,,Sold,,,http://www.redfin.com/CA/San-Jose/1623-Rebel-Way-95118/home/1756679,MLSListings,ML81780824,N,Y,37.2502231,-121.904085
PAST SALE,,Single Family Residential,5586 Le Fevre Dr,San Jose,CA,95118,1250000,3,3.0,,1756,5254,1994,,712,,,,,http://www.redfin.com/CA/San-Jose/5586-Le-Fevre-Dr-95118/home/1687645,,,N,Y,37.2394733,-121.8935037
PAST SALE,May-15-2020,Single Family Residential,1358 Via De Los Reyes,SAN JOSE,CA,95120,1435000,4,2.5,SAN JOSE,2116,8625,1972,344,678,,Sold,,,http://www.redfin.com/CA/San-Jose/1358-Via-De-Los-Reyes-95120/home/1538837,MLSListings,ML81786507,N,Y,37.2262524,-121.8855004
PAST SALE,December-10-2019,Single Family Residential,5281 Harwood Rd,SAN JOSE,CA,95124,1267500,3,2.0,SAN JOSE,1600,6700,1969,501,792,,Sold,,,http://www.redfin.com/CA/San-Jose/5281-Harwood-Rd-95124/home/1231165,MLSListings,ML81766811,N,Y,37.2425954,-121.9133317
PAST SALE,October-10-2019,Single Family Residential,5463 Muir Dr,SAN JOSE,CA,95124,1300000,4,2.0,SAN JOSE,1876,7381,1959,562,693,,Sold,,,http://www.redfin.com/CA/San-Jose/5463-Muir-Dr-95124/home/1434901,MLSListings,ML81754148,N,Y,37.2386616,-121.9102644
