SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-3-2020,Condo/Co-op,1032 Summermist,SAN JOSE,CA,95122,355000,1,1.0,SAN JOSE,512,580,1985,264,693,450,Sold,,,http://www.redfin.com/CA/San-Jose/1032-Summermist-Ct-95122/home/878741,MLSListings,ML81797888,N,Y,37.318985,-121.842015
PAST SALE,February-27-2020,Condo/Co-op,1062 Summershore Ct,SAN JOSE,CA,95122,359000,1,1.0,SAN JOSE,512,,1992,422,701,390,Sold,,,http://www.redfin.com/CA/San-Jose/1062-Summershore-Ct-95122/home/1677173,MLSListings,ML81777104,N,Y,37.319555,-121.842327
PAST SALE,November-22-2019,Single Family Residential,1935 Sogol Ct,SAN JOSE,CA,95122,820888,3,2.0,SAN JOSE,1155,6247,1979,519,711,,Sold,,,http://www.redfin.com/CA/San-Jose/1935-Sogol-Ct-95122/home/881667,MLSListings,ML81771065,N,Y,37.3181128,-121.8451192
PAST SALE,August-30-2019,Condo/Co-op,1119 Indian Summer Ct,SAN JOSE,CA,95122,490000,2,1.0,SAN JOSE,953,966,1985,603,514,471,Sold,,,http://www.redfin.com/CA/San-Jose/1119-Indian-Summer-Ct-95122/home/702514,MLSListings,ML81762091,N,Y,37.319681,-121.841658
PAST SALE,July-10-2020,Townhouse,1122 Pepper Rd,SAN JOSE,CA,95133,965000,3,3.0,SAN JOSE,1489,510,2014,288,648,168,Sold,,,http://www.redfin.com/CA/San-Jose/1122-Pepper-Rd-95133/home/112868729,MLSListings,ML81790716,N,Y,37.3810752,-121.8655976
PAST SALE,August-12-2020,Townhouse,1118 Genco Ter,SAN JOSE,CA,95133,1058000,4,3.5,SAN JOSE,2006,755,2014,255,527,168,Sold,,,http://www.redfin.com/CA/San-Jose/1118-Genco-Ter-95133/home/95957746,MLSListings,ML81796154,N,Y,37.3817041,-121.8647809
PAST SALE,September-27-2019,Townhouse,2011 Pepper Way,SAN JOSE,CA,95133,910000,3,2.5,SAN JOSE,1579,557,2012,575,576,163,Sold,,,http://www.redfin.com/CA/San-Jose/2011-Pepper-Way-95133/home/52671906,MLSListings,ML81763447,N,Y,37.379409,-121.865869
PAST SALE,February-27-2020,Townhouse,1085 Rymar Way,SAN JOSE,CA,95133,705500,2,2.5,SAN JOSE,1028,1764,1987,422,686,345,Sold,,,http://www.redfin.com/CA/San-Jose/1085-Rymar-Way-95133/home/690872,MLSListings,ML81778883,N,Y,37.3838103,-121.8608198
PAST SALE,October-4-2019,Single Family Residential,1229 Tofts Dr,SAN JOSE,CA,95131,1130000,3,2.5,SAN JOSE,1710,7135,1971,568,661,,Sold,,,http://www.redfin.com/CA/San-Jose/1229-Tofts-Dr-95131/home/1752916,MLSListings,ML81767244,N,Y,37.3850228,-121.8657341
PAST SALE,September-26-2019,Townhouse,941 Kestral Way,SAN JOSE,CA,95133,775000,2,2.5,SAN JOSE,1270,762,2006,576,610,275,Sold,,,http://www.redfin.com/CA/San-Jose/941-Kestral-Way-95133/home/12181415,MLSListings,ML81759255,N,Y,37.3821045,-121.8579937
PAST SALE,May-2-2019,Condo/Co-op,2673 Heron Ct,SAN JOSE,CA,95133,835000,2,2.5,SAN JOSE,1270,610,2006,723,657,275,Sold,,,http://www.redfin.com/CA/San-Jose/2673-Heron-Ct-95133/home/12179978,MLSListings,ML81745620,N,Y,37.3828335,-121.8586333
PAST SALE,August-20-2019,Townhouse,1094 Yarrow Ter,SAN JOSE,CA,95133,915000,3,3.0,SAN JOSE,1489,751,2012,613,615,163,Sold,,,http://www.redfin.com/CA/San-Jose/1094-Yarrow-Ter-95133/home/52672398,MLSListings,ML81760639,N,Y,37.380227,-121.865368
